sample_id,surface,point_id,matched_location,r_mm,theta_deg,x_mm,y_mm,z_mm
S01,A,C,1,0.0,,0.0,0.0,0.0
S01,A,I1,1,8.5,0,0.0,8.5,0.0
S01,A,I2,1,8.5,45,6.010408,6.010408,0.0
S01,A,I3,1,8.5,90,8.5,0.0,0.0
S01,A,I4,1,8.5,135,6.010408,-6.010408,0.0
S01,A,I5,1,8.5,180,0.0,-8.5,0.0
S01,A,I6,1,8.5,225,-6.010408,-6.010408,0.0
S01,A,I7,1,8.5,270,-8.5,-0.0,0.0
S01,A,I8,1,8.5,315,-6.010408,6.010408,0.0
S01,A,O1,1,15.0,0,0.0,15.0,0.0
S01,A,O2,1,15.0,45,10.606602,10.606602,0.0
S01,A,O3,1,15.0,90,15.0,0.0,0.0
S01,A,O4,1,15.0,135,10.606602,-10.606602,0.0
S01,A,O5,1,15.0,180,0.0,-15.0,0.0
S01,A,O6,1,15.0,225,-10.606602,-10.606602,0.0
S01,A,O7,1,15.0,270,-15.0,-0.0,0.0
S01,A,O8,1,15.0,315,-10.606602,10.606602,0.0
S01,B,C,1,0.0,,0.0,0.0,30.0
S01,B,I1,1,8.5,0,0.0,8.5,30.0
S01,B,I2,1,8.5,45,6.010408,6.010408,30.0
S01,B,I3,1,8.5,90,8.5,0.0,30.0
S01,B,I4,1,8.5,135,6.010408,-6.010408,30.0
S01,B,I5,1,8.5,180,0.0,-8.5,30.0
S01,B,I6,1,8.5,225,-6.010408,-6.010408,30.0
S01,B,I7,1,8.5,270,-8.5,-0.0,30.0
S01,B,I8,1,8.5,315,-6.010408,6.010408,30.0
S01,B,O1,1,15.0,0,0.0,15.0,30.0
S01,B,O2,1,15.0,45,10.606602,10.606602,30.0
S01,B,O3,1,15.0,90,15.0,0.0,30.0
S01,B,O4,1,15.0,135,10.606602,-10.606602,30.0
S01,B,O5,1,15.0,180,0.0,-15.0,30.0
S01,B,O6,1,15.0,225,-10.606602,-10.606602,30.0
S01,B,O7,1,15.0,270,-15.0,-0.0,30.0
S01,B,O8,1,15.0,315,-10.606602,10.606602,30.0
S01,lateral,L1a,1,21.35,0,0.0,21.35,7.5
S01,lateral,L1b,1,21.35,90,21.35,0.0,7.5
S01,lateral,L1c,1,21.35,180,0.0,-21.35,7.5
S01,lateral,L1d,1,21.35,270,-21.35,-0.0,7.5
S01,lateral,L2a,1,21.35,0,0.0,21.35,15.0
S01,lateral,L2b,1,21.35,90,21.35,0.0,15.0
S01,lateral,L2c,1,21.35,180,0.0,-21.35,15.0
S01,lateral,L2d,1,21.35,270,-21.35,-0.0,15.0
S01,lateral,L3a,1,21.35,0,0.0,21.35,22.5
S01,lateral,L3b,1,21.35,90,21.35,0.0,22.5
S01,lateral,L3c,1,21.35,180,0.0,-21.35,22.5
S01,lateral,L3d,1,21.35,270,-21.35,-0.0,22.5
S02,A,C,1,0.0,,0.0,0.0,0.0
S02,A,I1,1,8.5,0,0.0,8.5,0.0
S02,A,I2,1,8.5,45,6.010408,6.010408,0.0
S02,A,I3,1,8.5,90,8.5,0.0,0.0
S02,A,I4,1,8.5,135,6.010408,-6.010408,0.0
S02,A,I5,1,8.5,180,0.0,-8.5,0.0
S02,A,I6,1,8.5,225,-6.010408,-6.010408,0.0
S02,A,I7,1,8.5,270,-8.5,-0.0,0.0
S02,A,I8,1,8.5,315,-6.010408,6.010408,0.0
S02,A,O1,1,15.0,0,0.0,15.0,0.0
S02,A,O2,1,15.0,45,10.606602,10.606602,0.0
S02,A,O3,1,15.0,90,15.0,0.0,0.0
S02,A,O4,1,15.0,135,10.606602,-10.606602,0.0
S02,A,O5,1,15.0,180,0.0,-15.0,0.0
S02,A,O6,1,15.0,225,-10.606602,-10.606602,0.0
S02,A,O7,1,15.0,270,-15.0,-0.0,0.0
S02,A,O8,1,15.0,315,-10.606602,10.606602,0.0
S02,A,E1_1,0,35.0,0,0.0,35.0,0.0
S02,A,E1_2,0,35.0,45,24.748737,24.748737,0.0
S02,A,E1_3,0,35.0,90,35.0,0.0,0.0
S02,A,E1_4,0,35.0,135,24.748737,-24.748737,0.0
S02,A,E1_5,0,35.0,180,0.0,-35.0,0.0
S02,A,E1_6,0,35.0,225,-24.748737,-24.748737,0.0
S02,A,E1_7,0,35.0,270,-35.0,-0.0,0.0
S02,A,E1_8,0,35.0,315,-24.748737,24.748737,0.0
S02,B,C,1,0.0,,0.0,0.0,100.0
S02,B,I1,1,8.5,0,0.0,8.5,100.0
S02,B,I2,1,8.5,45,6.010408,6.010408,100.0
S02,B,I3,1,8.5,90,8.5,0.0,100.0
S02,B,I4,1,8.5,135,6.010408,-6.010408,100.0
S02,B,I5,1,8.5,180,0.0,-8.5,100.0
S02,B,I6,1,8.5,225,-6.010408,-6.010408,100.0
S02,B,I7,1,8.5,270,-8.5,-0.0,100.0
S02,B,I8,1,8.5,315,-6.010408,6.010408,100.0
S02,B,O1,1,15.0,0,0.0,15.0,100.0
S02,B,O2,1,15.0,45,10.606602,10.606602,100.0
S02,B,O3,1,15.0,90,15.0,0.0,100.0
S02,B,O4,1,15.0,135,10.606602,-10.606602,100.0
S02,B,O5,1,15.0,180,0.0,-15.0,100.0
S02,B,O6,1,15.0,225,-10.606602,-10.606602,100.0
S02,B,O7,1,15.0,270,-15.0,-0.0,100.0
S02,B,O8,1,15.0,315,-10.606602,10.606602,100.0
S02,B,E1_1,0,35.0,0,0.0,35.0,100.0
S02,B,E1_2,0,35.0,45,24.748737,24.748737,100.0
S02,B,E1_3,0,35.0,90,35.0,0.0,100.0
S02,B,E1_4,0,35.0,135,24.748737,-24.748737,100.0
S02,B,E1_5,0,35.0,180,0.0,-35.0,100.0
S02,B,E1_6,0,35.0,225,-24.748737,-24.748737,100.0
S02,B,E1_7,0,35.0,270,-35.0,-0.0,100.0
S02,B,E1_8,0,35.0,315,-24.748737,24.748737,100.0
S02,lateral,L1a,1,50.0,0,0.0,50.0,7.5
S02,lateral,L1b,1,50.0,90,50.0,0.0,7.5
S02,lateral,L1c,1,50.0,180,0.0,-50.0,7.5
S02,lateral,L1d,1,50.0,270,-50.0,-0.0,7.5
S02,lateral,L2a,1,50.0,0,0.0,50.0,15.0
S02,lateral,L2b,1,50.0,90,50.0,0.0,15.0
S02,lateral,L2c,1,50.0,180,0.0,-50.0,15.0
S02,lateral,L2d,1,50.0,270,-50.0,-0.0,15.0
S02,lateral,L3a,1,50.0,0,0.0,50.0,22.5
S02,lateral,L3b,1,50.0,90,50.0,0.0,22.5
S02,lateral,L3c,1,50.0,180,0.0,-50.0,22.5
S02,lateral,L3d,1,50.0,270,-50.0,-0.0,22.5
S02,lateral,L4a,0,50.0,0,0.0,50.0,50.0
S02,lateral,L4b,0,50.0,90,50.0,0.0,50.0
S02,lateral,L4c,0,50.0,180,0.0,-50.0,50.0
S02,lateral,L4d,0,50.0,270,-50.0,-0.0,50.0
S02,lateral,L5a,0,50.0,0,0.0,50.0,75.0
S02,lateral,L5b,0,50.0,90,50.0,0.0,75.0
S02,lateral,L5c,0,50.0,180,0.0,-50.0,75.0
S02,lateral,L5d,0,50.0,270,-50.0,-0.0,75.0
S02,lateral,L6a,0,50.0,0,0.0,50.0,90.0
S02,lateral,L6b,0,50.0,90,50.0,0.0,90.0
S02,lateral,L6c,0,50.0,180,0.0,-50.0,90.0
S02,lateral,L6d,0,50.0,270,-50.0,-0.0,90.0
